,method,number,orbital_period,mass,distance,year,classify,rounded_distance
0,Radial Velocity,1,269.3,7.1,77.4,2006,0,78
1,Radial Velocity,1,874.774,2.21,56.95,2008,0,57
2,Radial Velocity,1,763.0,2.6,19.84,2011,1,20
3,Radial Velocity,1,326.03,19.4,110.62,2007,0,111
4,Radial Velocity,1,516.22,10.5,119.47,2009,0,120
5,Radial Velocity,1,185.84,4.8,76.39,2008,0,77
6,Radial Velocity,1,1773.4,4.64,18.15,2002,0,19
8,Radial Velocity,1,993.3,10.3,73.1,2008,0,74
9,Radial Velocity,2,452.8,1.99,74.79,2010,0,75
10,Radial Velocity,2,883.0,0.86,74.79,2010,0,75
11,Radial Velocity,1,335.1,9.88,39.43,2009,0,40
12,Radial Velocity,1,479.1,3.88,97.28,2008,0,98
13,Radial Velocity,3,1078.0,2.53,14.08,1996,0,15
14,Radial Velocity,3,2391.0,0.54,14.08,2001,0,15
15,Radial Velocity,3,14002.0,1.64,14.08,2009,0,15
16,Radial Velocity,1,4.230785,0.472,15.36,1995,0,16
17,Radial Velocity,5,14.651,0.8,12.53,1996,0,13
18,Radial Velocity,5,44.38,0.165,12.53,2004,0,13
19,Radial Velocity,5,4909.0,3.53,12.53,2002,0,13
21,Radial Velocity,5,261.2,0.172,12.53,2007,0,13
22,Radial Velocity,3,4.215,0.016,8.52,2009,0,9
23,Radial Velocity,3,38.021,0.057,8.52,2009,0,9
24,Radial Velocity,3,123.01,0.072,8.52,2009,0,9
27,Radial Velocity,1,952.7,5.3,97.18,2008,0,98
28,Radial Velocity,1,181.4,3.2,45.52,2013,1,46
45,Radial Velocity,1,380.8,1.8,20.21,2010,0,21
46,Radial Velocity,1,3.2357,0.0036,1.35,2012,1,2
48,Radial Velocity,1,2502.0,1.55,3.22,2000,0,4
50,Radial Velocity,1,594.9,7.6,47.53,2006,0,48
51,Radial Velocity,1,428.5,8.78,38.52,2009,0,39
52,Radial Velocity,1,903.3,1.85,13.79,2003,0,14
55,Radial Velocity,1,136.75,2.8,62.66,2007,0,63
58,Radial Velocity,1,277.02,1.7,80.64,2013,1,81
61,Radial Velocity,1,39.845,1.04,17.43,1997,0,18
62,Radial Velocity,1,3.3135,3.9,15.6,1996,0,16
63,Radial Velocity,1,305.5,20.6,92.51,2013,1,93
64,Radial Velocity,4,4.617033,0.6876,13.47,1996,0,14
65,Radial Velocity,4,241.258,1.981,13.47,1999,0,14
66,Radial Velocity,4,1276.46,4.132,13.47,1999,0,14
67,Radial Velocity,4,3848.86,1.059,13.47,2010,0,14
76,Radial Velocity,1,655.6,5.1,37.54,2008,0,38
79,Radial Velocity,2,5.6,0.045,42.09,2009,0,43
80,Radial Velocity,2,237.6,0.33,42.09,2009,0,43
81,Radial Velocity,2,3.8728,0.027,20.1,2013,1,21
82,Radial Velocity,2,125.94,0.17,20.1,2013,1,21
83,Radial Velocity,1,268.94,1.47,50.03,2009,0,51
84,Radial Velocity,1,137.48,1.11,175.44,2013,1,176
114,Radial Velocity,1,15.76491,3.91,10.91,1999,0,11
115,Radial Velocity,3,8.631,0.035,14.97,2013,1,15
116,Radial Velocity,3,25.6,0.024,14.97,2013,1,15
117,Radial Velocity,3,603.0,0.079,14.97,2013,1,15
118,Radial Velocity,1,2288.0,0.82,12.12,2009,0,13
119,Radial Velocity,2,692.0,1.894,15.1,2007,0,16
120,Radial Velocity,2,7100.0,1.6,15.1,2011,1,16
121,Radial Velocity,1,4100.0,2.3,20.03,2013,1,21
122,Radial Velocity,1,7.3709,0.018,9.04,2011,1,10
125,Radial Velocity,4,5.36874,0.049,6.27,2005,0,7
126,Radial Velocity,4,12.9292,0.017,6.27,2005,0,7
127,Radial Velocity,4,66.8,0.022,6.27,2005,0,7
128,Radial Velocity,4,3.14942,0.006,6.27,2005,0,7
129,Radial Velocity,1,598.3,0.328,10.32,2009,0,11
130,Radial Velocity,6,7.2004,0.018,6.8,2011,1,7
131,Radial Velocity,6,28.14,0.012,6.8,2011,1,7
132,Radial Velocity,6,91.61,0.016,6.8,2013,1,7
133,Radial Velocity,6,62.24,0.008,6.8,2013,1,7
134,Radial Velocity,6,39.026,0.008,6.8,2013,1,7
135,Radial Velocity,6,256.2,0.014,6.8,2013,1,7
136,Radial Velocity,1,4.6938,0.035,4.54,2007,0,5
137,Radial Velocity,3,1050.3,4.95,16.13,2010,0,17
138,Radial Velocity,3,3.6,0.014,16.13,2012,1,17
139,Radial Velocity,3,35.37,0.036,16.13,2012,1,17
140,Radial Velocity,1,3416.0,0.64,4.94,2008,0,5
141,Radial Velocity,1,1845.0,0.91,8.77,2006,0,9
142,Radial Velocity,4,61.1166,2.2756,4.7,1998,0,5
143,Radial Velocity,4,30.0881,0.7142,4.7,2000,0,5
144,Radial Velocity,4,1.93778,0.021,4.7,2005,0,5
145,Radial Velocity,4,124.26,0.046,4.7,2010,0,5
147,Radial Velocity,1,133.71,3.37,17.62,2000,0,18
149,Radial Velocity,1,2.64561,0.022,19.8,2010,0,20
161,Radial Velocity,2,428.5,15.2,214.0,2009,0,214
166,Radial Velocity,2,5584.0,3.4,90.0,2010,0,90
181,Radial Velocity,2,1022.0,3.4,354.0,2011,1,354
198,Radial Velocity,2,349.7,1.25,25.64,2001,0,26
199,Radial Velocity,2,6005.0,5.3,25.64,2012,1,26
200,Radial Velocity,2,5.7727,0.024,23.44,2009,0,24
201,Radial Velocity,2,13.505,0.0186,23.44,2011,1,24
202,Radial Velocity,1,431.8,3.1,167.5,2011,1,168
203,Radial Velocity,1,533.0,6.1,7.01,2010,0,8
204,Radial Velocity,1,1183.0,4.9,89.85,2002,0,90
205,Radial Velocity,1,3.4442,0.48,53.71,2005,0,54
206,Radial Velocity,1,311.6,1.6,115.21,2013,1,116
207,Radial Velocity,1,62.218,0.229,11.11,2003,0,12
208,Radial Velocity,1,526.62,1.56,44.05,2007,0,45
209,Radial Velocity,1,829.0,0.8,32.7,2001,0,33
210,Radial Velocity,1,15.609,0.0405,21.85,2005,0,22
211,Radial Velocity,1,431.88,2.07,77.82,2001,0,78
212,Radial Velocity,1,356.0,2.3,131.41,2009,0,132
213,Radial Velocity,2,360.2,2.37,56.5,2012,1,57
214,Radial Velocity,2,2732.0,2.37,56.5,2012,1,57
215,Radial Velocity,1,675.0,1.94,100.0,2007,0,100
216,Radial Velocity,1,777.0,1.96,53.28,2009,0,54
218,Radial Velocity,1,177.11,7.6,150.6,2011,1,151
219,Radial Velocity,1,22.09,0.48,40.32,2003,0,41
220,Radial Velocity,1,2496.0,1.65,55.01,2009,0,56
221,Radial Velocity,1,615.0,0.29,35.88,2011,1,36
222,Radial Velocity,2,1275.0,1.11,38.52,2011,1,39
223,Radial Velocity,2,4046.0,2.0,38.52,2011,1,39
224,Radial Velocity,1,5.3978,0.029,16.82,2008,0,17
225,Radial Velocity,1,1313.0,0.63,56.34,2010,0,57
226,Radial Velocity,1,227.0,1.8,44.15,2002,0,45
227,Radial Velocity,1,1634.0,14.2,38.26,2009,0,39
228,Radial Velocity,2,30.052,0.7,52.85,2009,0,53
229,Radial Velocity,2,192.9,1.82,52.85,2009,0,53
230,Radial Velocity,6,5.75962,0.041,39.39,2010,0,40
231,Radial Velocity,6,16.3567,0.038,39.39,2010,0,40
232,Radial Velocity,6,49.747,0.08,39.39,2010,0,40
233,Radial Velocity,6,122.72,0.074,39.39,2010,0,40
234,Radial Velocity,6,602.0,0.067,39.39,2010,0,40
235,Radial Velocity,6,2248.0,0.205,39.39,2010,0,40
236,Radial Velocity,1,989.2,0.94,17.35,2006,0,18
237,Radial Velocity,1,1075.2,6.21,32.56,1999,0,33
238,Radial Velocity,2,1270.2,3.44,53.82,2007,0,54
239,Radial Velocity,2,170.455,0.82,53.82,2008,0,54
240,Radial Velocity,1,711.0,6.54,66.49,2005,0,67
241,Radial Velocity,2,1945.0,0.622,33.98,2005,0,34
242,Radial Velocity,2,37.91,0.0788,33.98,2008,0,34
243,Radial Velocity,2,262.709,2.3,37.16,2000,0,38
244,Radial Velocity,2,1708.0,1.92,37.16,2002,0,38
245,Radial Velocity,1,471.6,14.0,300.3,2005,0,301
246,Radial Velocity,2,14.182,0.0325,28.6,2011,1,29
247,Radial Velocity,2,53.832,0.036,28.6,2011,1,29
248,Radial Velocity,2,19.382,0.865,66.89,2013,1,67
249,Radial Velocity,2,931.0,5.13,66.89,2013,1,67
250,Radial Velocity,1,4218.0,1.88,45.52,2009,0,46
251,Radial Velocity,1,75.523,0.26,35.91,2000,0,36
252,Radial Velocity,1,17.24,0.0696,25.54,2008,0,26
253,Radial Velocity,1,990.0,4.4,59.84,2009,0,60
254,Radial Velocity,1,465.1,14.3,50.18,2009,0,51
257,Radial Velocity,1,772.0,2.7,127.88,2011,1,128
258,Radial Velocity,1,466.2,1.37,22.38,2003,0,23
259,Radial Velocity,2,11.849,0.0378,43.08,2011,1,44
260,Radial Velocity,2,33.823,0.0422,43.08,2011,1,44
261,Radial Velocity,1,500.0,1.07,27.13,2002,0,28
262,Radial Velocity,3,18.315,0.0085,6.06,2011,1,7
263,Radial Velocity,3,40.114,0.00755,6.06,2011,1,7
264,Radial Velocity,3,90.309,0.0151,6.06,2011,1,7
265,Radial Velocity,2,29.15,0.0379,35.89,2011,1,36
266,Radial Velocity,2,85.131,0.0496,35.89,2011,1,36
267,Radial Velocity,1,591.9,1.9,36.02,2006,0,37
268,Radial Velocity,1,380.85,1.99,44.5,2008,0,45
269,Radial Velocity,2,22.656,0.0322,32.31,2011,1,33
270,Radial Velocity,2,53.881,0.06472,32.31,2011,1,33
271,Radial Velocity,1,1214.0,1.5,89.13,2006,0,90
272,Radial Velocity,1,738.459,2.61,34.6,2001,0,35
273,Radial Velocity,1,528.07,13.65,31.79,2011,1,32
274,Radial Velocity,1,1561.0,7.71,51.97,2003,0,52
275,Radial Velocity,1,3668.0,4.01,46.51,2006,0,47
276,Radial Velocity,1,1845.0,0.95,56.05,2010,0,57
277,Radial Velocity,1,423.841,1.28,18.24,2000,0,19
278,Radial Velocity,1,2208.0,1.45,44.54,2012,1,45
279,Radial Velocity,1,17.991,0.62,42.37,2005,0,43
280,Radial Velocity,1,1117.0,1.16,56.18,2010,0,57
281,Radial Velocity,1,385.9,5.59,39.56,2001,0,40
282,Radial Velocity,1,387.1,1.7,168.92,2011,1,169
283,Radial Velocity,1,2819.654,9.17,54.71,2002,0,55
284,Radial Velocity,1,1159.2,1.373,26.5,2009,0,27
285,Radial Velocity,1,912.0,1.8,121.07,2011,1,122
286,Radial Velocity,1,466.0,0.5,53.82,2010,0,54
287,Radial Velocity,3,16.546,0.0363,38.01,2011,1,39
288,Radial Velocity,3,51.284,0.0498,38.01,2011,1,39
289,Radial Velocity,3,274.49,0.0519,38.01,2011,1,39
290,Radial Velocity,1,326.6,1.3,136.8,2011,1,137
291,Radial Velocity,1,18.179,0.33,86.88,2006,0,87
292,Radial Velocity,1,157.54,3.04,117.37,2009,0,118
293,Radial Velocity,1,1049.0,0.79,45.01,2009,0,46
294,Radial Velocity,1,388.0,9.1,20.98,2005,0,21
296,Radial Velocity,3,154.46,0.61,33.24,2002,0,34
297,Radial Velocity,3,2295.0,0.683,33.24,2002,0,34
298,Radial Velocity,3,843.6,0.624,33.24,2005,0,34
299,Radial Velocity,1,2063.818,10.35,18.21,2001,0,19
300,Radial Velocity,2,55.0,2.3,42.88,2004,0,43
301,Radial Velocity,2,2720.0,3.366,42.88,2012,1,43
302,Radial Velocity,3,5.6363,0.0117,25.59,2011,1,26
303,Radial Velocity,3,14.025,0.0187,25.59,2011,1,26
304,Radial Velocity,3,33.941,0.0162,25.59,2011,1,26
305,Radial Velocity,2,14.3098,0.839,42.43,2000,0,43
306,Radial Velocity,2,2140.2,13.38,42.43,2000,0,43
307,Radial Velocity,1,696.3,10.7,99.4,2009,0,100
308,Radial Velocity,1,407.15,0.0961,15.56,2011,1,16
309,Radial Velocity,6,4.3123,0.0126,12.83,2008,0,13
310,Radial Velocity,6,9.6184,0.0208,12.83,2008,0,13
311,Radial Velocity,6,20.432,0.0299,12.83,2008,0,13
312,Radial Velocity,6,34.62,0.011,12.83,2012,1,13
313,Radial Velocity,6,51.76,0.0164,12.83,2012,1,13
314,Radial Velocity,6,197.8,0.0223,12.83,2012,1,13
315,Radial Velocity,1,264.15,4.01,33.33,2002,0,34
316,Radial Velocity,1,963.0,2.54,43.03,2004,0,44
317,Radial Velocity,1,1.3283,18.37,43.03,2003,0,44
318,Radial Velocity,2,18.357,0.039,52.03,2013,1,53
319,Radial Velocity,2,25.648,0.027,52.03,2013,1,53
320,Radial Velocity,1,327.8,0.6,54.94,2010,0,55
321,Radial Velocity,1,2371.0,25.0,37.05,2008,0,38
322,Radial Velocity,1,36.96,2.49,93.2,2007,0,94
323,Radial Velocity,1,472.0,0.58,50.43,2010,0,51
324,Radial Velocity,1,5.8872,0.04,22.04,2011,1,23
325,Radial Velocity,2,226.93,0.1872,32.58,2008,0,33
326,Radial Velocity,2,342.85,0.6579,32.58,2008,0,33
327,Radial Velocity,1,890.76,1.79,48.95,2004,0,49
328,Radial Velocity,1,43.6,0.47,36.14,2008,0,37
329,Radial Velocity,1,3.024,0.249,33.41,2000,0,34
330,Radial Velocity,2,4.0845,0.07167,37.84,2008,0,38
331,Radial Velocity,2,1353.6,0.35061,37.84,2008,0,38
332,Radial Velocity,2,430.0,5.0,121.36,2002,0,122
333,Radial Velocity,2,2500.0,7.0,121.36,2008,0,122
334,Radial Velocity,1,700.0,1.16,87.41,2008,0,88
335,Radial Velocity,1,4.9437,0.115,40.73,2002,0,41
336,Radial Velocity,1,2582.7,1.71,47.26,2005,0,48
337,Radial Velocity,1,1279.0,4.9,31.03,2002,0,32
338,Radial Velocity,2,14.07,0.0413,34.07,2011,1,35
339,Radial Velocity,2,95.415,0.0565,34.07,2011,1,35
340,Radial Velocity,1,118.96,1.13,28.07,2000,0,29
341,Radial Velocity,1,303.0,5.25,92.51,2003,0,93
342,Radial Velocity,2,201.83,3.1548,25.7,2008,0,26
343,Radial Velocity,2,607.06,7.4634,25.7,2008,0,26
344,Radial Velocity,1,2.817822,0.38,35.8,2005,0,36
345,Radial Velocity,1,589.64,2.9,10.34,2006,0,11
346,Radial Velocity,1,358.0,0.64,32.62,2009,0,33
347,Radial Velocity,2,572.4,1.26,35.59,2003,0,36
348,Radial Velocity,2,152.6,0.17,35.59,2011,1,36
349,Radial Velocity,1,480.5,6.0,80.06,2012,1,81
350,Radial Velocity,1,1973.0,2.82,55.04,2005,0,56
351,Radial Velocity,1,6.276,1.9,58.82,2001,0,59
352,Radial Velocity,3,8.667,0.033,12.58,2006,0,13
353,Radial Velocity,3,31.56,0.038,12.58,2006,0,13
354,Radial Velocity,3,197.0,0.058,12.58,2006,0,13
356,Radial Velocity,1,2231.0,2.0,28.76,2003,0,29
357,Radial Velocity,1,3383.0,3.15,51.36,2002,0,52
358,Radial Velocity,1,1260.0,3.06,53.05,2008,0,54
359,Radial Velocity,1,2.54858,1.87,36.52,2003,0,37
360,Radial Velocity,2,188.9,2.25,94.61,2002,0,95
361,Radial Velocity,2,379.1,2.25,94.61,2005,0,95
362,Radial Velocity,1,1800.0,1.15,96.99,2008,0,97
363,Radial Velocity,3,51.645,1.8,64.56,2003,0,65
364,Radial Velocity,3,2473.0,8.06,64.56,2003,0,65
365,Radial Velocity,3,346.6,0.396,64.56,2007,0,65
366,Radial Velocity,1,3.51,0.42,28.94,1999,0,29
367,Radial Velocity,1,418.2,2.51,80.58,2007,0,81
368,Radial Velocity,1,3.971,0.197,59.7,2002,0,60
