,method,number,orbital_period,mass,distance,year,classify,rounded_distance
370,Radial Velocity,1,1966.1,1.34,48.64,2011,1,49
372,Radial Velocity,1,1001.7,6.86,32.56,2005,0,33
373,Radial Velocity,1,184.02,2.7,88.26,2007,0,89
376,Radial Velocity,1,705.0,1.3,112.23,2011,1,113
377,Radial Velocity,1,2.985625,0.4,43.53,2002,0,44
378,Radial Velocity,1,788.0,0.132,33.96,2009,0,34
379,Radial Velocity,1,58.43,0.01133,11.15,2011,1,12
380,Radial Velocity,1,2.1375,1.5,91.16,2006,0,92
381,Radial Velocity,1,1695.0,0.92,42.48,2009,0,43
382,Radial Velocity,1,1475.0,7.0,72.57,2009,0,73
383,Radial Velocity,1,2754.0,1.78,18.06,2009,0,19
384,Radial Velocity,1,3.416,0.22,74.46,2004,0,75
385,Radial Velocity,1,2157.0,1.78,30.88,2009,0,31
386,Radial Velocity,1,256.78,8.44,38.99,1999,0,39
387,Radial Velocity,1,49.77,0.057,22.09,2009,0,23
388,Radial Velocity,1,325.81,3.86,32.32,2000,0,33
389,Radial Velocity,1,143.58,0.37,28.9,2005,0,29
390,Radial Velocity,2,13.186,0.0263,42.52,2011,1,43
391,Radial Velocity,2,46.025,0.0318,42.52,2011,1,43
393,Radial Velocity,1,507.0,1.2,149.03,2009,0,150
394,Radial Velocity,1,361.1,0.9,132.8,2011,1,133
395,Radial Velocity,1,498.9,0.68,84.03,2009,0,85
396,Radial Velocity,1,647.3,4.0,221.24,2011,1,222
397,Radial Velocity,2,8.1256,0.0284,26.21,2011,1,27
398,Radial Velocity,2,103.49,0.04,26.21,2011,1,27
399,Radial Velocity,1,9.494,0.026,21.3,2010,0,22
400,Radial Velocity,1,436.9,1.8,150.38,2011,1,151
401,Radial Velocity,1,4951.0,6.8,42.77,2012,1,43
402,Radial Velocity,1,439.3,0.502,60.46,2005,0,61
403,Radial Velocity,2,17.054,0.087,17.99,2004,0,18
404,Radial Velocity,2,4970.0,0.36,17.99,2010,0,18
405,Radial Velocity,1,868.0,1.4,130.89,2011,1,131
406,Radial Velocity,1,157.57,1.7,140.85,2011,1,141
407,Radial Velocity,1,383.7,1.16,52.8,2007,0,53
408,Radial Velocity,1,70.46,0.3,30.5,2005,0,31
409,Radial Velocity,1,20.8133,0.172,42.0,2005,0,42
410,Radial Velocity,1,4.113775,0.45,28.98,2006,0,29
411,Radial Velocity,2,127.58,5.9,164.2,2008,0,165
412,Radial Velocity,2,520.0,2.6,164.2,2008,0,165
413,Radial Velocity,1,122.1,0.05,9.24,2010,0,10
414,Radial Velocity,1,778.1,5.9,138.5,2011,1,139
415,Radial Velocity,1,6.495,0.96,121.07,2010,0,122
416,Radial Velocity,1,47.84,0.098,49.33,2009,0,50
417,Radial Velocity,1,5.8881,0.367,53.08,2013,1,54
418,Radial Velocity,1,55.806,0.186,20.82,2009,0,21
419,Radial Velocity,1,199.505,8.3,102.04,2003,0,103
420,Radial Velocity,1,1531.0,6.92,37.44,2002,0,38
421,Radial Velocity,1,2890.0,11.0,87.87,2011,1,88
422,Radial Velocity,1,3630.0,9.61,36.36,2012,1,37
424,Radial Velocity,1,48.056,0.21,51.26,2005,0,52
425,Radial Velocity,1,10.8985,0.261,38.56,2002,0,39
426,Radial Velocity,1,443.4,2.6,138.5,2011,1,139
427,Radial Velocity,2,395.8,1.29,68.54,2002,0,69
428,Radial Velocity,2,1624.0,0.99,68.54,2005,0,69
429,Radial Velocity,1,68.27,0.77,65.62,2010,0,66
430,Radial Velocity,2,7.8543,0.054,56.92,2013,1,57
431,Radial Velocity,2,30.93,0.076,56.92,2013,1,57
432,Radial Velocity,1,5.24,0.28,59.03,2005,0,60
433,Radial Velocity,1,835.477,11.09,97.66,2009,0,98
434,Radial Velocity,1,1143.0,6.8,28.88,2003,0,29
435,Radial Velocity,1,324.0,2.83,37.42,2013,1,38
436,Radial Velocity,2,263.3,0.27,15.71,2010,0,16
437,Radial Velocity,2,1657.0,0.71,15.71,2010,0,16
438,Radial Velocity,2,937.7,1.24,28.04,2003,0,29
440,Radial Velocity,1,3827.0,0.48,20.48,2014,1,21
441,Radial Velocity,1,83.888,11.68,40.57,1989,0,41
442,Radial Velocity,1,493.7,1.1,20.43,2001,0,21
443,Radial Velocity,1,1114.0,0.95,35.0,2002,0,35
444,Radial Velocity,1,670.0,2.1,110.62,2011,1,111
445,Radial Velocity,1,2597.0,1.88,33.01,2004,0,34
446,Radial Velocity,1,25.827,0.178,38.02,2004,0,39
447,Radial Velocity,1,6.1335,2.13,88.57,2005,0,89
448,Radial Velocity,1,2082.0,4.5,97.66,2013,1,98
449,Radial Velocity,1,63.33,1.22,44.37,2003,0,45
450,Radial Velocity,1,344.95,3.71,133.16,2003,0,134
451,Radial Velocity,3,559.4,3.0,52.83,2007,0,53
452,Radial Velocity,3,4.1547,0.058,52.83,2009,0,53
453,Radial Velocity,3,3008.0,7.2,52.83,2009,0,53
454,Radial Velocity,1,9.6737,0.041,27.45,2009,0,28
455,Radial Velocity,1,1244.0,0.38,68.35,2009,0,69
456,Radial Velocity,1,948.12,0.224,38.05,2011,1,39
457,Radial Velocity,2,454.2,1.45,16.57,2002,0,17
458,Radial Velocity,2,923.8,3.24,16.57,2005,0,17
459,Radial Velocity,1,1840.0,1.6,67.61,2009,0,68
460,Radial Velocity,1,10.7085,1.04,29.76,1999,0,30
461,Radial Velocity,1,883.0,2.2,121.36,2011,1,122
462,Radial Velocity,1,1951.0,18.15,57.21,2008,0,58
463,Radial Velocity,1,974.0,5.61,70.97,2007,0,71
464,Radial Velocity,1,1544.0,1.49,98.52,2011,1,99
465,Radial Velocity,2,3.27,0.0351,24.15,2011,1,25
466,Radial Velocity,2,1160.9,0.1507,24.15,2011,1,25
467,Radial Velocity,2,258.19,1.59,25.65,1999,0,26
468,Radial Velocity,2,5000.0,0.82,25.65,2009,0,26
469,Radial Velocity,3,12.083,0.0292,26.91,2011,1,27
470,Radial Velocity,3,59.519,0.0382,26.91,2011,1,27
471,Radial Velocity,3,459.26,0.121,26.91,2011,1,27
472,Radial Velocity,1,464.3,2.0,106.38,2009,0,107
473,Radial Velocity,3,11.577,0.0166,14.56,2011,1,15
474,Radial Velocity,3,27.582,0.0358,14.56,2011,1,15
475,Radial Velocity,3,106.72,0.03,14.56,2011,1,15
476,Radial Velocity,1,330.0,0.223,38.45,2011,1,39
477,Radial Velocity,1,1125.7,9.76,121.36,2008,0,122
478,Radial Velocity,1,653.22,9.7,33.46,2002,0,34
479,Radial Velocity,1,1928.0,5.1,35.87,2005,0,36
480,Radial Velocity,1,1299.0,1.9,106.38,2011,1,107
481,Radial Velocity,1,386.3,1.62,34.57,2003,0,35
482,Radial Velocity,1,1057.0,3.12,59.35,2008,0,60
483,Radial Velocity,1,176.3,2.9,126.1,2010,0,127
484,Radial Velocity,1,103.95,5.76,55.19,2008,0,56
485,Radial Velocity,2,44.236,2.12,42.68,2009,0,43
486,Radial Velocity,2,1008.0,6.56,42.68,2009,0,43
487,Radial Velocity,1,528.4,1.21,12.87,2003,0,13
488,Radial Velocity,1,1027.0,0.85,53.05,2009,0,54
489,Radial Velocity,1,331.5,0.96,59.28,2009,0,60
491,Radial Velocity,1,4.072,1.33,63.49,2005,0,64
492,Radial Velocity,1,2.391,15.5,76.51,2009,0,77
493,Radial Velocity,1,1096.2,0.168,29.55,2011,1,30
494,Radial Velocity,1,2097.0,3.0,85.18,2009,0,86
495,Radial Velocity,1,689.0,1.5,182.82,2011,1,183
496,Radial Velocity,1,499.4,2.73,51.87,2008,0,52
497,Radial Velocity,1,18.596,0.0193,18.08,2011,1,19
498,Radial Velocity,1,3342.0,0.947,18.06,2006,0,19
499,Radial Velocity,1,163.9,5.02,65.79,2008,0,66
500,Radial Velocity,2,408.6,2.24,68.54,2004,0,69
501,Radial Velocity,2,3452.0,2.58,68.54,2014,1,69
502,Radial Velocity,2,194.3,0.85,43.4,2007,0,44
503,Radial Velocity,2,391.9,0.82,43.4,2007,0,44
504,Radial Velocity,1,131.05,9.71,35.37,2011,1,36
505,Radial Velocity,1,842.0,0.75,55.1,2009,0,56
506,Radial Velocity,1,4.6455,0.013,24.05,2010,0,25
507,Radial Velocity,1,359.5546,10.57,49.0,2007,0,49
508,Radial Velocity,1,104.84,0.12,33.48,2011,1,34
509,Radial Velocity,1,521.0,1.8,114.15,2011,1,115
510,Radial Velocity,2,12.62,1.13,68.59,2013,1,69
511,Radial Velocity,2,248.4,1.9,68.59,2013,1,69
512,Radial Velocity,2,1178.4,2.1,52.72,2006,0,53
513,Radial Velocity,2,352.3,0.73,52.72,2012,1,53
515,Radial Velocity,4,4205.8,1.814,15.28,2004,0,16
518,Radial Velocity,1,8.428198,14.4,31.26,2002,0,32
519,Radial Velocity,2,75.29,0.77,69.44,2010,0,70
520,Radial Velocity,2,1314.0,2.29,69.44,2010,0,70
521,Radial Velocity,1,282.4,0.48,51.81,2010,0,52
522,Radial Velocity,1,606.4,2.7,37.98,2009,0,38
523,Radial Velocity,1,1155.0,0.36,21.92,2005,0,22
524,Radial Velocity,1,5144.0,3.53,42.99,2012,1,43
525,Radial Velocity,1,420.77,1.7,50.0,2007,0,50
526,Radial Velocity,2,58.11289,8.02,37.88,1998,0,38
527,Radial Velocity,2,1749.5,18.1,37.88,2000,0,38
528,Radial Velocity,1,6.403,0.23,43.12,2002,0,44
529,Radial Velocity,2,225.62,2.88,36.32,2000,0,37
530,Radial Velocity,2,2102.0,4.04,36.32,2003,0,37
531,Radial Velocity,1,1145.0,0.67,64.98,2007,0,65
533,Radial Velocity,1,1523.0,2.6,44.05,2009,0,45
534,Radial Velocity,1,323.6,2.7,134.95,2008,0,135
535,Radial Velocity,1,1290.0,7.8,67.02,2009,0,68
536,Radial Velocity,1,297.3,0.61,127.55,2007,0,128
538,Radial Velocity,2,406.6,1.49,59.03,1999,0,60
539,Radial Velocity,2,110.9,0.15,59.03,2010,0,60
540,Radial Velocity,1,71.484,7.03,46.73,2001,0,47
541,Radial Velocity,1,14.476,0.08,63.69,2008,0,64
542,Radial Velocity,1,3.0925,0.95,27.05,2000,0,28
544,Radial Velocity,1,479.0,1.6,114.55,2009,0,115
545,Radial Velocity,1,663.0,3.3,115.47,2009,0,116
546,Radial Velocity,3,9.3743,0.0238,26.15,2008,0,27
547,Radial Velocity,3,962.0,0.64,26.15,2008,0,27
548,Radial Velocity,3,2172.0,0.54,26.15,2008,0,27
549,Radial Velocity,1,956.0,0.37,55.93,2009,0,56
550,Radial Velocity,2,634.23,3.69,52.83,2004,0,53
551,Radial Velocity,2,2950.0,3.82,52.83,2008,0,53
552,Radial Velocity,1,6.838,0.94,47.37,2006,0,48
553,Radial Velocity,1,986.0,0.75,44.98,2006,0,45
554,Radial Velocity,2,3.097,0.52,47.92,1998,0,48
555,Radial Velocity,2,3810.0,1.99,47.92,1999,0,48
556,Radial Velocity,1,456.46,1.26,52.63,2004,0,53
557,Radial Velocity,1,14.275,0.0316,17.72,2011,1,18
559,Radial Velocity,1,1136.1,5.93,62.11,2002,0,63
560,Radial Velocity,2,2891.0,1.502,15.89,2003,0,16
561,Radial Velocity,2,17.1,0.057,15.89,2005,0,16
562,Radial Velocity,1,1038.1,1.9,54.23,2007,0,55
563,Radial Velocity,1,4885.0,3.1,189.39,2009,0,190
564,Radial Velocity,1,24.348,0.72,19.89,1999,0,20
565,Radial Velocity,2,74.72,0.05318,8.82,2011,1,9
566,Radial Velocity,2,525.8,0.07552,8.82,2011,1,9
567,Radial Velocity,1,351.5,2.5,67.39,2007,0,68
568,Radial Velocity,1,18.20163,3.7,37.35,1999,0,38
569,Radial Velocity,1,1289.0,3.0,46.93,2002,0,47
570,Radial Velocity,1,3638.0,6.9,43.57,2012,1,44
571,Radial Velocity,1,1333.0,2.58,32.99,2007,0,33
572,Radial Velocity,1,1035.7,0.79,32.83,2011,1,33
573,Radial Velocity,2,613.8,1.85,68.35,2010,0,69
574,Radial Velocity,2,825.0,0.895,68.35,2010,0,69
575,Radial Velocity,2,255.87,17.4,46.34,2002,0,47
576,Radial Velocity,2,1383.4,2.44,46.34,2004,0,47
578,Radial Velocity,3,1931.0,4.05,47.3,2009,0,48
579,Radial Velocity,3,34.873,0.054,47.3,2011,1,48
580,Radial Velocity,3,2831.6,1.68,47.3,2012,1,48
581,Radial Velocity,1,1733.0,0.266,26.95,2011,1,27
582,Radial Velocity,1,279.8,1.37,90.33,2008,0,91
583,Radial Velocity,1,610.0,2.2,170.07,2009,0,171
586,Radial Velocity,1,123.0,0.45,43.99,2004,0,44
587,Radial Velocity,1,875.5,9.9,352.11,2012,1,353
589,Radial Velocity,1,442.1,1.23,21.29,1998,0,22
591,Radial Velocity,1,2.245715,0.45,52.72,2005,0,53
592,Radial Velocity,1,373.3,2.3,121.8,2009,0,122
593,Radial Velocity,1,951.0,4.5,40.75,2001,0,41
594,Radial Velocity,2,7.2825,0.0087,21.52,2011,1,22
595,Radial Velocity,2,10.866,0.0097,21.52,2011,1,22
596,Radial Velocity,2,191.99,0.101,38.64,2011,1,39
597,Radial Velocity,2,2277.0,0.246,38.64,2011,1,39
598,Radial Velocity,2,3.93,0.017,43.53,2009,0,44
599,Radial Velocity,2,567.0,0.33,43.53,2009,0,44
600,Radial Velocity,1,1311.0,1.26,33.29,2002,0,34
601,Radial Velocity,1,1294.0,2.1,26.52,2002,0,27
602,Radial Velocity,1,118.45,0.65,37.89,2003,0,38
603,Radial Velocity,2,7.126816,1.39,19.72,1998,0,20
604,Radial Velocity,2,4270.0,2.6,19.72,2005,0,20
605,Radial Velocity,1,1319.0,13.0,54.92,2010,0,55
606,Radial Velocity,1,225.7,0.21,29.94,2010,0,30
607,Radial Velocity,1,5501.0,10.39,29.2,2012,1,30
609,Radial Velocity,1,3.8335,0.06,81.1,2007,0,82
610,Radial Velocity,1,672.1,11.1,289.02,2012,1,290
611,Radial Velocity,1,2209.0,1.06,45.23,2012,1,46
612,Radial Velocity,1,3724.7,1.45,48.43,2011,1,49
613,Radial Velocity,1,456.1,3.09,52.88,2007,0,53
614,Radial Velocity,1,3999.0,1.9,50.45,2011,1,51
615,Radial Velocity,1,572.38,7.75,41.95,1999,0,42
616,Radial Velocity,1,26.73,0.71,94.07,2006,0,95
617,Radial Velocity,1,141.6,1.08,108.46,2007,0,109
620,Radial Velocity,1,745.7,5.3,307.69,2011,1,308
621,Radial Velocity,1,2443.0,2.54,54.92,2009,0,55
622,Radial Velocity,1,8.7836,0.0265,9.42,2008,0,10
623,Radial Velocity,1,3.369,0.76,50.2,2004,0,51
624,Radial Velocity,2,345.72,1.42,44.8,2009,0,45
626,Radial Velocity,1,57.0,0.47,23.8,2010,0,24
627,Radial Velocity,1,16.2,1.25,223.21,2010,0,224
628,Radial Velocity,3,6.673855,3.88,52.88,2005,0,53
629,Radial Velocity,3,147.73,1.28,52.88,2006,0,53
630,Radial Velocity,3,952.0,0.57,52.88,2009,0,53
631,Radial Velocity,1,41.397,0.298,11.03,2010,0,12
632,Radial Velocity,3,8.1352,0.036,25.87,2011,1,26
633,Radial Velocity,3,32.03,0.41,25.87,2011,1,26
634,Radial Velocity,3,431.7,0.527,25.87,2011,1,26
636,Radial Velocity,1,124.6,9.18,149.25,2013,1,150
637,Radial Velocity,1,17337.5,9.0,23.98,2009,0,24
638,Radial Velocity,1,511.098,8.82,31.33,2002,0,32
640,Radial Velocity,1,111.7,2.1,14.9,2009,0,15
641,Radial Velocity,1,5.0505,1.068,44.46,2013,1,45
642,Radial Velocity,1,311.288,1.94,17.24,1999,0,18
649,Transit,1,2.7033904,1.47,178.0,2013,1,178
784,Radial Velocity,3,580.0,0.947,135.0,2012,1,135
